Value of N: 0,Iterative Result: 0,Iterative Efficiency: 0,Recursive Result: 0,Recursive Efficiency: 0,
Value of N: 1,Iterative Result: 1,Iterative Efficiency: 1,Recursive Result: 1,Recursive Efficiency: 1,
Value of N: 2,Iterative Result: 2,Iterative Efficiency: 2,Recursive Result: 2,Recursive Efficiency: 2,
Value of N: 3,Iterative Result: 5,Iterative Efficiency: 3,Recursive Result: 5,Recursive Efficiency: 3,
Value of N: 4,Iterative Result: 12,Iterative Efficiency: 4,Recursive Result: 12,Recursive Efficiency: 4,
Value of N: 5,Iterative Result: 29,Iterative Efficiency: 5,Recursive Result: 29,Recursive Efficiency: 5,
Value of N: 6,Iterative Result: 70,Iterative Efficiency: 6,Recursive Result: 70,Recursive Efficiency: 6,
Value of N: 7,Iterative Result: 169,Iterative Efficiency: 7,Recursive Result: 169,Recursive Efficiency: 7,
Value of N: 8,Iterative Result: 408,Iterative Efficiency: 8,Recursive Result: 408,Recursive Efficiency: 8,
Value of N: 9,Iterative Result: 985,Iterative Efficiency: 9,Recursive Result: 985,Recursive Efficiency: 9,
Value of N: 10,Iterative Result: 2378,Iterative Efficiency: 10,Recursive Result: 2378,Recursive Efficiency: 10,
